date_level,population,stock number,total portion
"20170218_600,001-800,000",11,"7,430,000",4.62
"20170218_800,001-1,000,000",1,"900,000",0.56
"20170218_1,000,001以上",17,"85,160,000",52.99
20170210_1-999,11,"2,306",0.00
"20170210_1,000-5,000","1,998","5,223,300",3.01
"20170210_5,001-10,000",739,"6,304,000",3.63
"20170210_10,001-15,000",269,"3,680,394",2.12
"20170210_15,001-20,000",272,"5,259,000",3.03
"20170210_20,001-30,000",208,"5,612,000",3.24
"20170210_30,001-40,000",149,"5,491,000",3.17
"20170210_40,001-50,000",108,"5,202,000",3.00
"20170210_50,001-100,000",194,"14,475,000",8.35
"20170210_100,001-200,000",91,"13,370,000",7.71
"20170210_200,001-400,000",50,"14,239,000",8.22
"20170210_400,001-600,000",24,"11,773,000",6.79
"20170210_600,001-800,000",7,"4,994,000",2.88
"20170210_800,001-1,000,000",3,"2,756,000",1.59
"20170210_1,000,001以上",17,"74,806,000",43.19
20170203_1-999,11,"1,856",0.00
"20170203_1,000-5,000","1,667","4,232,760",2.63
"20170203_5,001-10,000",549,"4,667,000",2.90
"20170203_10,001-15,000",216,"2,963,384",1.84
"20170203_15,001-20,000",190,"3,632,000",2.26
"20170203_20,001-30,000",175,"4,730,000",2.94
"20170203_30,001-40,000",111,"4,132,000",2.57
"20170203_40,001-50,000",87,"4,212,000",2.62
"20170203_50,001-100,000",136,"10,190,000",6.34
"20170203_100,001-200,000",71,"10,034,000",6.24
"20170203_200,001-400,000",46,"13,530,000",8.42
"20170203_400,001-600,000",17,"8,658,000",5.38
"20170203_600,001-800,000",6,"3,973,000",2.47
"20170203_800,001-1,000,000",3,"2,658,000",1.65
"20170203_1,000,001以上",18,"83,073,000",51.69
20170126_1-999,11,"1,856",0.00
"20170126_1,000-5,000","1,876","4,773,760",2.97
"20170126_5,001-10,000",628,"5,345,000",3.32
"20170126_10,001-15,000",239,"3,252,384",2.02
"20170126_15,001-20,000",215,"4,108,000",2.55
"20170126_20,001-30,000",212,"5,701,000",3.54
"20170126_30,001-40,000",118,"4,422,000",2.75
"20170126_40,001-50,000",92,"4,469,000",2.78
"20170126_50,001-100,000",170,"12,604,000",7.84
"20170126_100,001-200,000",80,"11,445,000",7.12
"20170126_200,001-400,000",53,"15,849,000",9.86
"20170126_400,001-600,000",16,"8,214,000",5.11
"20170126_600,001-800,000",9,"6,067,000",3.77
"20170126_800,001-1,000,000",3,"2,711,000",1.68
"20170126_1,000,001以上",18,"71,724,000",44.63
20170120_1-999,9,"1,486",0.00
"20170120_1,000-5,000","2,177","5,554,120",3.55
"20170120_5,001-10,000",783,"6,678,010",4.27
"20170120_10,001-15,000",297,"4,049,384",2.59
"20170120_15,001-20,000",244,"4,687,000",3.00
"20170120_20,001-30,000",234,"6,280,000",4.02
"20170120_30,001-40,000",129,"4,828,000",3.09
"20170120_40,001-50,000",115,"5,573,000",3.56
"20170120_50,001-100,000",196,"14,572,000",9.32
"20170120_100,001-200,000",88,"12,766,000",8.17
"20170120_200,001-400,000",52,"15,440,000",9.88
"20170120_400,001-600,000",22,"10,793,000",6.91
"20170120_600,001-800,000",10,"6,682,000",4.27
"20170120_800,001-1,000,000",5,"4,582,000",2.93
"20170120_1,000,001以上",17,"53,701,000",34.38
20170113_1-999,9,"1,306",0.00
"20170113_1,000-5,000","1,928","4,940,300",3.15
"20170113_5,001-10,000",657,"5,653,000",3.60
"20170113_10,001-15,000",245,"3,352,394",2.13
"20170113_15,001-20,000",206,"3,960,000",2.52
"20170113_20,001-30,000",225,"6,057,000",3.86
"20170113_30,001-40,000",115,"4,262,000",2.72
"20170113_40,001-50,000",103,"4,998,000",3.18
"20170113_50,001-100,000",183,"13,920,000",8.88
"20170113_100,001-200,000",74,"10,539,000",6.72
"20170113_200,001-400,000",50,"14,211,000",9.06
"20170113_400,001-600,000",19,"9,320,000",5.94
"20170113_600,001-800,000",10,"6,862,000",4.37
"20170113_800,001-1,000,000",4,"3,525,000",2.24
"20170113_1,000,001以上",17,"65,086,000",41.53
20170106_1-999,6,302,0.00
"20170106_1,000-5,000","1,550","3,817,300",2.33
"20170106_5,001-10,000",447,"3,888,000",2.38
"20170106_10,001-15,000",163,"2,238,398",1.37
"20170106_15,001-20,000",167,"3,197,000",1.95
"20170106_20,001-30,000",152,"4,063,000",2.48
"20170106_30,001-40,000",81,"2,974,000",1.82
"20170106_40,001-50,000",71,"3,425,000",2.09
"20170106_50,001-100,000",118,"8,947,000",5.48
"20170106_100,001-200,000",62,"9,277,000",5.68
"20170106_200,001-400,000",34,"9,607,000",5.88
"20170106_400,001-600,000",13,"6,579,000",4.03
