date_level,population,stock number,total portion
"20170317_50,001-100,000",122,"8,630,000",8.17
"20170317_100,001-200,000",56,"8,050,000",7.62
"20170317_200,001-400,000",22,"5,952,000",5.64
"20170317_400,001-600,000",4,"2,086,000",1.97
"20170317_600,001-800,000",2,"1,560,000",1.47
"20170317_800,001-1,000,000",1,"873,000",0.82
"20170317_1,000,001以上",13,"40,883,000",38.74
20170310_1-999,55,"10,063",0.00
"20170310_1,000-5,000","3,872","9,110,424",8.59
"20170310_5,001-10,000",918,"7,662,713",7.22
"20170310_10,001-15,000",304,"3,998,800",3.77
"20170310_15,001-20,000",255,"4,859,000",4.58
"20170310_20,001-30,000",207,"5,456,000",5.14
"20170310_30,001-40,000",102,"3,818,000",3.60
"20170310_40,001-50,000",74,"3,524,000",3.32
"20170310_50,001-100,000",107,"7,710,000",7.27
"20170310_100,001-200,000",55,"7,977,000",7.52
"20170310_200,001-400,000",19,"5,290,000",4.98
"20170310_400,001-600,000",3,"1,651,000",1.55
"20170310_600,001-800,000",3,"2,294,000",2.16
"20170310_800,001-1,000,000",1,"900,000",0.84
"20170310_1,000,001以上",13,"41,753,000",39.38
20170303_1-999,56,"10,372",0.00
"20170303_1,000-5,000","3,937","9,260,966",8.08
"20170303_5,001-10,000",938,"7,901,862",6.90
"20170303_10,001-15,000",300,"3,958,800",3.45
"20170303_15,001-20,000",262,"5,016,000",4.38
"20170303_20,001-30,000",199,"5,264,000",4.59
"20170303_30,001-40,000",100,"3,756,000",3.27
"20170303_40,001-50,000",81,"3,890,000",3.39
"20170303_50,001-100,000",103,"7,531,000",6.57
"20170303_100,001-200,000",52,"7,555,000",6.59
"20170303_200,001-400,000",22,"6,213,000",5.42
"20170303_400,001-600,000",4,"2,056,000",1.79
"20170303_600,001-800,000",4,"3,014,000",2.63
"20170303_800,001-1,000,000",2,"1,838,000",1.60
"20170303_1,000,001以上",14,"47,251,000",41.26
20170303_差異數調整（說明4）, ,"-2,000",-0.00
20170224_1-999,56,"10,070",0.00
"20170224_1,000-5,000","4,108","9,624,268",8.18
"20170224_5,001-10,000",983,"8,246,862",7.01
"20170224_10,001-15,000",327,"4,311,800",3.66
"20170224_15,001-20,000",273,"5,248,000",4.46
"20170224_20,001-30,000",209,"5,527,000",4.70
"20170224_30,001-40,000",97,"3,637,000",3.09
"20170224_40,001-50,000",88,"4,240,000",3.60
"20170224_50,001-100,000",109,"7,984,000",6.79
"20170224_100,001-200,000",55,"7,905,000",6.72
"20170224_200,001-400,000",24,"6,911,000",5.88
"20170224_400,001-600,000",4,"2,100,000",1.78
"20170224_600,001-800,000",4,"3,082,000",2.62
"20170224_800,001-1,000,000",2,"1,838,000",1.56
"20170224_1,000,001以上",14,"46,849,000",39.86
20170218_1-999,57,"10,317",0.00
"20170218_1,000-5,000","4,214","9,926,021",8.37
"20170218_5,001-10,000","1,030","8,673,662",7.31
"20170218_10,001-15,000",323,"4,258,000",3.59
"20170218_15,001-20,000",288,"5,527,000",4.66
"20170218_20,001-30,000",211,"5,608,000",4.73
"20170218_30,001-40,000",97,"3,648,000",3.07
"20170218_40,001-50,000",92,"4,444,000",3.74
"20170218_50,001-100,000",110,"7,991,000",6.74
"20170218_100,001-200,000",52,"7,532,000",6.35
"20170218_200,001-400,000",25,"7,372,000",6.22
"20170218_400,001-600,000",4,"2,101,000",1.77
"20170218_600,001-800,000",3,"2,303,000",1.94
"20170218_800,001-1,000,000",3,"2,684,000",2.26
"20170218_1,000,001以上",14,"46,436,000",39.18
20170210_1-999,60,"11,832",0.00
"20170210_1,000-5,000","4,423","10,473,506",8.37
"20170210_5,001-10,000","1,131","9,576,662",7.66
"20170210_10,001-15,000",335,"4,441,000",3.55
"20170210_15,001-20,000",301,"5,756,000",4.60
"20170210_20,001-30,000",221,"5,864,000",4.69
"20170210_30,001-40,000",113,"4,279,000",3.42
"20170210_40,001-50,000",97,"4,686,000",3.74
"20170210_50,001-100,000",131,"9,669,000",7.73
"20170210_100,001-200,000",57,"8,436,000",6.74
"20170210_200,001-400,000",22,"6,510,000",5.20
"20170210_400,001-600,000",4,"2,068,000",1.65
"20170210_600,001-800,000",3,"2,301,000",1.84
"20170210_800,001-1,000,000",4,"3,582,000",2.86
"20170210_1,000,001以上",14,"47,360,000",37.88
20170203_1-999,59,"11,681",0.00
"20170203_1,000-5,000","4,750","11,270,809",8.60
"20170203_5,001-10,000","1,237","10,460,510",7.98
"20170203_10,001-15,000",382,"5,108,000",3.89
"20170203_15,001-20,000",354,"6,782,000",5.17
"20170203_20,001-30,000",246,"6,529,000",4.98
"20170203_30,001-40,000",115,"4,325,000",3.30
"20170203_40,001-50,000",116,"5,591,000",4.26
"20170203_50,001-100,000",146,"10,751,000",8.20
"20170203_100,001-200,000",66,"9,700,000",7.40
"20170203_200,001-400,000",23,"6,649,000",5.07
"20170203_400,001-600,000",8,"3,909,000",2.98
"20170203_600,001-800,000",4,"2,940,000",2.24
"20170203_800,001-1,000,000",3,"2,756,000",2.10
"20170203_1,000,001以上",13,"44,231,000",33.76
20170126_1-999,59,"11,681",0.00
"20170126_1,000-5,000","4,792","11,395,809",8.69
"20170126_5,001-10,000","1,250","10,588,510",8.08
"20170126_10,001-15,000",375,"5,017,000",3.82
"20170126_15,001-20,000",353,"6,756,000",5.15
"20170126_20,001-30,000",252,"6,678,000",5.09
"20170126_30,001-40,000",116,"4,366,000",3.33
"20170126_40,001-50,000",118,"5,696,000",4.34
"20170126_50,001-100,000",150,"11,074,000",8.45
"20170126_100,001-200,000",62,"9,125,000",6.96
"20170126_200,001-400,000",25,"7,159,000",5.46
"20170126_400,001-600,000",8,"3,964,000",3.02
"20170126_600,001-800,000",4,"2,954,000",2.25
"20170126_800,001-1,000,000",3,"2,751,000",2.09
"20170126_1,000,001以上",13,"43,478,000",33.18
20170120_1-999,60,"11,982",0.00
"20170120_1,000-5,000","4,916","11,664,508",8.48
"20170120_5,001-10,000","1,301","10,969,710",7.97
"20170120_10,001-15,000",390,"5,189,800",3.77
"20170120_15,001-20,000",361,"6,916,000",5.02
"20170120_20,001-30,000",273,"7,249,000",5.27
"20170120_30,001-40,000",121,"4,550,000",3.30
"20170120_40,001-50,000",115,"5,567,000",4.04
"20170120_50,001-100,000",160,"11,850,000",8.61
"20170120_100,001-200,000",69,"10,108,000",7.35
"20170120_200,001-400,000",28,"7,690,000",5.59
"20170120_400,001-600,000",4,"1,956,000",1.42
"20170120_600,001-800,000",5,"3,639,000",2.64
"20170120_800,001-1,000,000",4,"3,736,000",2.71
"20170120_1,000,001以上",12,"46,417,000",33.75
20170113_1-999,57,"10,587",0.00
"20170113_1,000-5,000","5,209","12,493,903",8.79
"20170113_5,001-10,000","1,378","11,637,710",8.19
"20170113_10,001-15,000",413,"5,477,800",3.85
"20170113_15,001-20,000",393,"7,523,000",5.29
"20170113_20,001-30,000",276,"7,339,000",5.16
"20170113_30,001-40,000",129,"4,834,000",3.40
"20170113_40,001-50,000",124,"5,995,000",4.22
"20170113_50,001-100,000",155,"11,580,000",8.15
"20170113_100,001-200,000",76,"11,152,000",7.85
"20170113_200,001-400,000",33,"9,480,000",6.67
"20170113_400,001-600,000",1,"574,000",0.40
"20170113_600,001-800,000",5,"3,562,000",2.50
"20170113_800,001-1,000,000",5,"4,462,000",3.14
"20170113_1,000,001以上",13,"45,893,000",32.31
20170106_1-999,55,"11,085",0.00
"20170106_1,000-5,000","5,427","13,161,405",9.33
"20170106_5,001-10,000","1,411","11,924,710",8.45
"20170106_10,001-15,000",428,"5,636,800",3.99
"20170106_15,001-20,000",434,"8,307,000",5.89
