date_level,population,stock number,total portion
"20170317_1,000,001以上",25,"81,042,649",38.87
20170310_1-999,"11,374","748,343",0.35
"20170310_1,000-5,000","9,690","19,075,022",9.15
"20170310_5,001-10,000","2,077","13,510,275",6.48
"20170310_10,001-15,000",963,"10,729,218",5.14
"20170310_15,001-20,000",303,"5,155,653",2.47
"20170310_20,001-30,000",398,"9,187,672",4.40
"20170310_30,001-40,000",118,"3,971,253",1.90
"20170310_40,001-50,000",96,"4,179,989",2.00
"20170310_50,001-100,000",202,"13,475,871",6.46
"20170310_100,001-200,000",84,"11,545,760",5.53
"20170310_200,001-400,000",42,"11,640,742",5.58
"20170310_400,001-600,000",27,"13,357,985",6.40
"20170310_600,001-800,000",11,"7,318,600",3.51
"20170310_800,001-1,000,000",4,"3,632,160",1.74
"20170310_1,000,001以上",25,"80,916,649",38.81
20170303_1-999,"11,142","754,892",0.36
"20170303_1,000-5,000","9,639","18,946,761",9.08
"20170303_5,001-10,000","2,061","13,356,407",6.40
"20170303_10,001-15,000",960,"10,672,638",5.12
"20170303_15,001-20,000",304,"5,166,041",2.47
"20170303_20,001-30,000",400,"9,228,919",4.42
"20170303_30,001-40,000",118,"3,967,258",1.90
"20170303_40,001-50,000",95,"4,129,471",1.98
"20170303_50,001-100,000",203,"13,544,989",6.49
"20170303_100,001-200,000",83,"11,365,420",5.45
"20170303_200,001-400,000",48,"13,258,002",6.36
"20170303_400,001-600,000",24,"11,536,985",5.53
"20170303_600,001-800,000",11,"7,215,238",3.46
"20170303_800,001-1,000,000",5,"4,533,522",2.17
"20170303_1,000,001以上",25,"80,768,649",38.74
20170224_1-999,"11,064","759,497",0.36
"20170224_1,000-5,000","9,587","18,795,603",9.01
"20170224_5,001-10,000","2,067","13,465,368",6.45
"20170224_10,001-15,000",961,"10,682,630",5.12
"20170224_15,001-20,000",300,"5,071,121",2.43
"20170224_20,001-30,000",401,"9,256,082",4.44
"20170224_30,001-40,000",125,"4,195,965",2.01
"20170224_40,001-50,000",89,"3,867,299",1.85
"20170224_50,001-100,000",198,"13,288,851",6.37
"20170224_100,001-200,000",89,"12,197,865",5.85
"20170224_200,001-400,000",45,"12,383,102",5.94
"20170224_400,001-600,000",25,"11,774,320",5.64
"20170224_600,001-800,000",11,"7,253,238",3.47
"20170224_800,001-1,000,000",4,"3,572,160",1.71
"20170224_1,000,001以上",26,"81,882,091",39.28
20170218_1-999,"10,619","737,266",0.35
"20170218_1,000-5,000","9,611","18,830,661",9.03
"20170218_5,001-10,000","2,105","13,605,117",6.52
"20170218_10,001-15,000","1,006","11,184,120",5.36
"20170218_15,001-20,000",312,"5,262,739",2.52
"20170218_20,001-30,000",408,"9,395,221",4.50
"20170218_30,001-40,000",136,"4,551,422",2.18
"20170218_40,001-50,000",92,"4,028,079",1.93
"20170218_50,001-100,000",197,"13,347,655",6.40
"20170218_100,001-200,000",88,"11,907,911",5.71
"20170218_200,001-400,000",46,"12,205,192",5.85
"20170218_400,001-600,000",25,"11,969,320",5.74
"20170218_600,001-800,000",11,"7,175,238",3.44
"20170218_800,001-1,000,000",4,"3,571,160",1.71
"20170218_1,000,001以上",26,"80,674,091",38.70
20170210_1-999,"10,408","740,300",0.35
"20170210_1,000-5,000","9,743","19,047,897",9.13
"20170210_5,001-10,000","2,145","13,834,230",6.63
"20170210_10,001-15,000","1,016","11,291,888",5.41
"20170210_15,001-20,000",314,"5,307,877",2.54
