date_level,population,stock number,total portion
"20170203_20,001-30,000","13,959","346,483,934",2.74
"20170203_30,001-40,000","6,348","222,503,682",1.76
"20170203_40,001-50,000","4,327","197,971,841",1.56
"20170203_50,001-100,000","7,271","514,681,932",4.07
"20170203_100,001-200,000","3,078","429,017,947",3.39
"20170203_200,001-400,000","1,326","367,985,246",2.91
"20170203_400,001-600,000",393,"194,533,453",1.54
"20170203_600,001-800,000",147,"101,357,474",0.8
"20170203_800,001-1,000,000",111,"100,483,638",0.79
"20170203_1,000,001以上",590,"8,448,348,886",66.92
20170126_1-999,"192,906","62,445,557",0.49
"20170126_1,000-5,000","236,827","564,443,591",4.47
"20170126_5,001-10,000","66,225","497,493,125",3.94
"20170126_10,001-15,000","24,802","305,743,092",2.42
"20170126_15,001-20,000","14,833","267,265,437",2.11
"20170126_20,001-30,000","13,912","345,276,993",2.73
"20170126_30,001-40,000","6,340","222,227,606",1.76
"20170126_40,001-50,000","4,309","197,031,542",1.56
"20170126_50,001-100,000","7,233","511,622,149",4.05
"20170126_100,001-200,000","3,066","426,935,227",3.38
"20170126_200,001-400,000","1,318","364,770,049",2.88
"20170126_400,001-600,000",391,"193,545,245",1.53
"20170126_600,001-800,000",148,"101,931,453",0.8
"20170126_800,001-1,000,000",106,"95,790,669",0.75
"20170126_1,000,001以上",594,"8,467,796,980",67.07
20170120_1-999,"193,000","62,497,666",0.49
"20170120_1,000-5,000","236,560","563,744,100",4.46
"20170120_5,001-10,000","66,061","496,049,424",3.92
"20170120_10,001-15,000","24,756","305,085,198",2.41
"20170120_15,001-20,000","14,771","266,136,286",2.1
"20170120_20,001-30,000","13,864","343,909,567",2.72
"20170120_30,001-40,000","6,308","221,024,295",1.75
"20170120_40,001-50,000","4,253","194,409,337",1.53
"20170120_50,001-100,000","7,203","509,255,812",4.03
"20170120_100,001-200,000","3,024","420,839,514",3.33
"20170120_200,001-400,000","1,300","360,040,226",2.85
"20170120_400,001-600,000",378,"187,495,728",1.48
"20170120_600,001-800,000",148,"101,606,111",0.8
"20170120_800,001-1,000,000",109,"98,494,628",0.78
"20170120_1,000,001以上",590,"8,493,730,823",67.28
20170113_1-999,"193,066","62,545,751",0.49
"20170113_1,000-5,000","236,895","564,595,836",4.47
"20170113_5,001-10,000","66,149","496,791,458",3.93
"20170113_10,001-15,000","24,771","305,252,355",2.41
"20170113_15,001-20,000","14,825","267,083,687",2.11
"20170113_20,001-30,000","13,894","344,740,499",2.73
"20170113_30,001-40,000","6,316","221,407,410",1.75
"20170113_40,001-50,000","4,282","195,784,345",1.55
"20170113_50,001-100,000","7,234","511,534,080",4.05
"20170113_100,001-200,000","3,034","422,079,103",3.34
"20170113_200,001-400,000","1,302","360,623,064",2.85
"20170113_400,001-600,000",379,"187,999,415",1.48
"20170113_600,001-800,000",147,"101,400,274",0.8
"20170113_800,001-1,000,000",107,"96,897,021",0.76
"20170113_1,000,001以上",588,"8,485,584,417",67.21
20170106_1-999,"193,071","62,600,180",0.49
"20170106_1,000-5,000","237,425","566,155,222",4.48
"20170106_5,001-10,000","66,461","499,353,228",3.95
"20170106_10,001-15,000","24,914","307,060,375",2.43
"20170106_15,001-20,000","14,928","269,075,733",2.13
"20170106_20,001-30,000","14,022","348,197,312",2.75
"20170106_30,001-40,000","6,353","222,685,682",1.76
"20170106_40,001-50,000","4,337","198,394,435",1.57
"20170106_50,001-100,000","7,280","514,408,799",4.07
"20170106_100,001-200,000","3,094","430,972,731",3.41
"20170106_200,001-400,000","1,309","361,858,381",2.86
"20170106_400,001-600,000",385,"191,902,368",1.52
"20170106_600,001-800,000",151,"104,461,699",0.82
"20170106_800,001-1,000,000",107,"96,804,393",0.76
"20170106_1,000,001以上",585,"8,450,388,177",66.93
20161230_1-999,"193,159","62,647,621",0.49
"20161230_1,000-5,000","237,673","566,850,935",4.49
"20161230_5,001-10,000","66,538","499,985,937",3.96
"20161230_10,001-15,000","24,946","307,436,441",2.43
"20161230_15,001-20,000","14,967","269,833,187",2.13
"20161230_20,001-30,000","14,028","348,356,849",2.75
"20161230_30,001-40,000","6,377","223,578,312",1.77
"20161230_40,001-50,000","4,347","198,867,651",1.57
"20161230_50,001-100,000","7,292","515,725,813",4.08
"20161230_100,001-200,000","3,098","431,267,265",3.41
"20161230_200,001-400,000","1,309","362,456,954",2.87
"20161230_400,001-600,000",384,"190,695,433",1.51
"20161230_600,001-800,000",155,"107,051,837",0.84
"20161230_800,001-1,000,000",106,"95,766,134",0.75
"20161230_1,000,001以上",586,"8,443,798,346",66.88
20161223_1-999,"193,242","62,690,568",0.49
"20161223_1,000-5,000","237,726","567,020,101",4.49
"20161223_5,001-10,000","66,567","500,197,527",3.96
"20161223_10,001-15,000","24,936","307,256,666",2.43
"20161223_15,001-20,000","14,966","269,752,172",2.13
"20161223_20,001-30,000","14,049","348,794,676",2.76
"20161223_30,001-40,000","6,392","224,123,673",1.77
"20161223_40,001-50,000","4,347","198,865,979",1.57
"20161223_50,001-100,000","7,282","515,395,223",4.08
"20161223_100,001-200,000","3,102","431,903,331",3.42
"20161223_200,001-400,000","1,306","361,114,811",2.86
"20161223_400,001-600,000",383,"190,011,870",1.5
"20161223_600,001-800,000",155,"107,153,452",0.84
"20161223_800,001-1,000,000",104,"94,095,134",0.74
"20161223_1,000,001以上",592,"8,445,943,532",66.9
20161216_1-999,"193,353","62,737,395",0.49
"20161216_1,000-5,000","237,803","567,224,113",4.49
"20161216_5,001-10,000","66,622","500,619,556",3.96
"20161216_10,001-15,000","24,952","307,521,147",2.43
"20161216_15,001-20,000","14,981","269,974,643",2.13
"20161216_20,001-30,000","14,048","348,751,078",2.76
"20161216_30,001-40,000","6,398","224,285,366",1.77
"20161216_40,001-50,000","4,356","199,346,111",1.57
"20161216_50,001-100,000","7,271","514,006,122",4.07
"20161216_100,001-200,000","3,101","431,680,751",3.41
"20161216_200,001-400,000","1,308","360,972,228",2.85
"20161216_400,001-600,000",383,"190,184,976",1.5
"20161216_600,001-800,000",156,"108,094,427",0.85
"20161216_800,001-1,000,000",105,"94,997,863",0.75
"20161216_1,000,001以上",590,"8,443,922,939",66.88
20161209_1-999,"193,601","62,834,280",0.49
"20161209_1,000-5,000","237,736","567,020,814",4.49
"20161209_5,001-10,000","66,605","500,418,427",3.96
"20161209_10,001-15,000","24,936","307,284,790",2.43
"20161209_15,001-20,000","14,938","269,161,060",2.13
"20161209_20,001-30,000","14,000","347,517,643",2.75
"20161209_30,001-40,000","6,388","223,809,540",1.77
"20161209_40,001-50,000","4,331","198,159,518",1.56
"20161209_50,001-100,000","7,242","511,438,857",4.05
"20161209_100,001-200,000","3,073","427,820,206",3.38
"20161209_200,001-400,000","1,300","358,728,999",2.84
"20161209_400,001-600,000",384,"190,792,430",1.51
